lang,avg_num_messages,std_num_messages,avg_num_user_words,std_num_user_words,avg_num_assistant_words,std_num_assistant_words
Bulgarian,3.3779904306220097,2.891581577465653,92.6842105263158,146.08682807163825,158.92344497607655,187.35033482037292
Catalan,4.287769784172662,4.445002230334173,97.99640287769785,198.79466209268463,254.60071942446044,276.95474405069893
Croatian,5.782608695652174,8.187132878381492,103.06521739130434,153.9967035716714,248.80434782608697,377.9315083925046
Czech,3.755868544600939,3.5930031118136174,45.889671361502344,74.78945843545208,176.18075117370893,191.72132399832242
Danish,3.7372262773722627,4.7261690435327,83.93795620437956,316.0743493473908,219.81934306569343,311.4489024821525
Dutch,3.720720720720721,3.631681144517495,88.875,137.46413747754883,217.99099099099098,235.31480013194314
English,3.6837159412182805,5.056048683962243,89.28374881238493,157.98894910206283,264.70416238356324,2794.2707027920774
Estonian,3.3846153846153846,2.8710477146430513,44.256410256410255,78.21519503359337,100.76923076923077,114.09494235260976
Finnish,3.9591836734693877,5.001201980209847,57.17687074829932,98.35960724853432,211.57142857142858,360.56834892510375
French,4.239769627159745,5.300756514031109,92.67838739011822,225.07463341804453,298.2737193088815,2133.045077800204
Galician,4.713780918727915,5.203591317956809,44.83745583038869,88.98391206431761,340.51236749116606,408.23560289447596
German,4.3146831530139105,5.131478016694996,87.44119010819165,155.87191624396672,272.59180834621327,1594.281163603633
Greek,3.4352941176470586,3.223776008407969,49.90065359477124,84.89918913821363,121.64575163398693,176.29884863408094
Hungarian,3.1875,3.0739382533717503,46.03365384615385,100.11857462614743,128.22115384615384,140.10917992203247
Irish,3.25,2.2949219304078006,33.6875,79.4159671182901,193.0625,161.24328151378378
Italian,4.767653956397116,5.124877956930593,66.66012333883437,122.12900347787593,312.90706158255887,338.9648293528576
Latvian,4.285714285714286,2.9819433366041292,61.04761904761905,160.64154193169585,186.11904761904762,180.02563535351487
Lithuanian,2.142857142857143,0.5345224838248488,7.142857142857143,3.2547513873422953,88.07142857142857,68.8850372116351
Maltese,4.0,2.422120283277993,16.75,10.598742063723098,163.875,115.84925550041312
Norwegian,3.443396226415094,3.2715351083983983,50.99528301886792,88.81235864864016,219.8066037735849,229.4524398133048
Polish,3.8335546702080565,4.4360137666800075,59.39884904825144,105.02799330967454,171.7901726427623,227.05197227548217
Portuguese,4.780029296875,5.939658728748161,83.19266764322917,141.56936589483632,319.6679280598958,1028.3819414477614
Romanian,3.8274760383386583,3.949474042421818,76.28753993610223,204.42961707599738,221.7859424920128,311.8977512545586
Slovak,4.164251207729468,7.7479767039240315,67.23188405797102,106.564964222915,227.9903381642512,507.0004116190869
Slovenian,3.072463768115942,2.390661000027043,60.65217391304348,83.29003649313725,153.43478260869566,131.51375216178965
Spanish,4.585547730366337,5.7676903367204115,92.25306267384742,189.98841825496456,307.7329111676629,1021.473961930615
Swedish,4.887983706720978,6.185704240155097,100.36863543788188,150.22265296298096,253.91038696537677,340.89357983018965
Ukrainian,5.724366041896362,8.11173974899899,109.18522601984564,188.12195706699404,250.04851157662625,370.74339117938496
